"","energy","tempo","danceability","loudness","liveness","valence","speechiness","instrumentalness","mode","key","duration_ms","acousticness","track_name","track_artist","track_album_name","track_album_release_date","track_popularity","time_signature","type","track_id","track_album_id"
"1",0.592,157.969,0.521,-7.777,0.122,0.535,0.0304,0,0,6,251668,0.308,"Die With A Smile","Lady Gaga, Bruno Mars","Die With A Smile","2024-08-16",100,3,"audio_features","2plbrEY59IikOBgBGLjaoe","10FLjwfpbxLmW8c25Xyc2N"
"2",0.507,104.978,0.747,-10.171,0.117,0.438,0.0358,0.0608,1,2,210373,0.2,"BIRDS OF A FEATHER","Billie Eilish","HIT ME HARD AND SOFT","2024-05-17",97,4,"audio_features","6dOtVTDdiauQNBQEDOtlAB","7aJuG4TFXa2hmE4z1yxc3n"
"3",0.808,108.548,0.554,-4.169,0.159,0.372,0.0368,0,1,1,166300,0.214,"That’s So True","Gracie Abrams","The Secret of Us (Deluxe)","2024-10-18",93,4,"audio_features","7ne4VBA60CxGM75vw0EYad","0hBRqPYPXhr1RkTDG3n4Mk"
"4",0.91,112.966,0.67,-4.07,0.304,0.786,0.0634,0,0,0,157280,0.0939,"Taste","Sabrina Carpenter","Short n' Sweet","2024-08-23",81,4,"audio_features","1d7Ptw3qYcfpdLNL5REhtJ","4B4Elma4nNDUyl6D5PvQkj"
"5",0.783,149.027,0.777,-4.477,0.355,0.939,0.26,0,0,0,169917,0.0283,"APT.","ROSÉ, Bruno Mars","APT.","2024-10-18",98,4,"audio_features","5vNRhkKd0yEAg8suGBpjeY","2IYQwwgxgOIn7t3iF6ufFD"
"6",0.582,116.712,0.7,-5.96,0.0881,0.785,0.0356,0,0,11,218424,0.0502,"Good Luck, Babe!","Chappell Roan","Good Luck, Babe!","2024-04-05",94,4,"audio_features","0WbMK4wrZ1wFSty9F7FCgu","1WAjjRMfZjEXtB0lQrAw6Q"
"7",0.561,150.069,0.669,-6.538,0.0954,0.841,0.0411,0.00962,1,10,169698,0.495,"Diet Pepsi","Addison Rae","Diet Pepsi","2024-08-09",88,4,"audio_features","6MzofobZt2dm0Kf1hTThFz","0XA403JTounqFh2owquBXu"
"8",0.416,94.926,0.492,-10.439,0.203,0.297,0.0254,8.61e-05,1,11,211979,0.686,"Sailor Song","Gigi Perez","Sailor Song","2024-07-26",71,4,"audio_features","0UYnhUfnUj5adChuAXvLUB","4DWrYvfGXRE8ko5ZxlIpit"
"9",0.667,130.019,0.776,-6.622,0.0761,0.618,0.0983,0.3,1,7,145219,0.0146,"Guess featuring billie eilish","Charli xcx, Billie Eilish","Guess featuring Billie Eilish","2024-08-01",85,4,"audio_features","3WOhcATHxK2SLNeP5W3v1v","3ThlxfLSy4bfKzxWqmC7VN"
"10",0.586,107.071,0.669,-6.073,0.104,0.579,0.054,0,1,9,186365,0.274,"Please Please Please","Sabrina Carpenter","Please Please Please","2024-06-06",88,4,"audio_features","5N3hjp1WNayUPZrA8kJmJP","5bBaoign62r1i7OV8w7mi9"
"11",0.806,104.032,0.608,-3.443,0.191,0.587,0.0486,0,1,1,181821,0.121,"2 hands","Tate McRae","2 hands","2024-11-14",79,4,"audio_features","1f18HzFpegqvH4ibGJyeMJ","2BdJwrx2wMJi7x06wWkUFg"
"12",0.709,81.012,0.722,-4.95,0.0804,0.604,0.0273,0,1,9,171292,0.0633,"A Bar Song (Tipsy)","Shaboozey","A Bar Song (Tipsy)","2024-04-12",86,4,"audio_features","2FQrifJ1N335Ljm3TjTVVf","6egBeCLeGITzGSo5VyRjwZ"
"13",0.757,139.982,0.742,-4.981,0.305,0.957,0.0421,0,1,6,184841,0.0187,"HOT TO GO!","Chappell Roan","The Rise and Fall of a Midwest Princess","2023-09-22",88,4,"audio_features","4xdBrk0nFZaP54vvZj0yx7","0EiI8ylL0FmWWpgHVTsZjZ"
"14",0.843,122.064,0.619,-5.348,0.164,0.746,0.0284,0.000118,0,5,204829,0.00948,"Love Somebody","Morgan Wallen","Love Somebody","2024-10-18",86,4,"audio_features","7hR22TOX3RorxJPcsz5Wbo","0TxewlKVKdpP18dGg279ep"
"15",0.406,115.94,0.53,-7.507,0.133,0.338,0.033,0,1,10,157147,0.656,"I Love You, I'm Sorry","Gracie Abrams","The Secret of Us","2024-06-21",90,3,"audio_features","51rfRCiUSvxXlCSCfIztBy","56bdWeO40o3WfAD2Lja4dl"
"16",0.76,103.969,0.701,-5.478,0.185,0.69,0.0285,6.54e-05,1,0,175459,0.107,"Espresso","Sabrina Carpenter","Espresso","2024-04-12",90,4,"audio_features","2qSkIjg1o9h3YT9RAgYN75","5quMTd5zeI9yW5UDua8wS4"
"17",0.725,116.988,0.894,-4.984,0.0815,0.838,0.0432,1.15e-05,0,10,136627,0.00434,"Mantra","JENNIE","Mantra","2024-10-10",89,4,"audio_features","2CspwnypzT7rcWI9RfsoSb","3e5tDT1kfaAGx10yOjIDgW"
"18",0.563,105.008,0.833,-5.593,0.139,0.343,0.204,1.27e-05,0,4,182857,0.528,"Qué Pasaría...","Rauw Alejandro, Bad Bunny","Cosa Nuestra","2024-11-15",82,4,"audio_features","0l0vcZMU7AOeQmUIREoI2U","0aX0UXrHG2ceYIxTQcqJdA"
"19",0.339,97.989,0.705,-10.612,0.12,0.457,0.0278,0.0814,1,7,236907,0.552,"No One Noticed","The Marías","Submarine","2024-05-31",84,4,"audio_features","3siwsiaEoU4Kuuc9WKMUy5","03guxdOi12XJbnvxvxbpwG"
"20",0.651,112.648,0.694,-6.968,0.0787,0.471,0.0784,1.36e-05,1,6,225881,0.496,"Tu Boda","Oscar Maydon, Fuerza Regida","Tu Boda","2024-09-26",93,3,"audio_features","1cOboCuWYI2osTOfolMRS6","60cQzWfmdg4hyDXrpW6kOA"
"21",0.646,115.842,0.645,-8.334,0.074,0.295,0.0427,3.04e-05,1,5,228639,0.0615,"we can't be friends (wait for your love)","Ariana Grande","eternal sunshine","2024-03-08",81,4,"audio_features","46kspZSY3aKmwQe7O77fCC","71PfP4E9roOXAudea1aPGw"
"22",0.709,194.055,0.744,-5.778,0.0847,0.712,0.284,0,0,6,130880,0.0501,"DEGENERE 👑 (feat. benny blanco)","Myke Towers, benny blanco","LA PANTERA NEGRA (DELUXE)","2024-10-17",84,4,"audio_features","0qeIFEGRQqHoaJtLCl0U73","3pkIK8SI5mcUUjb9jNjx4H"
"23",0.904,167.033,0.739,-2.655,0.0948,0.788,0.0442,1.03e-05,0,5,129883,0.549,"Touch","KATSEYE","Touch","2024-07-26",85,4,"audio_features","6aJn7Cst74cj4lNIiPRgav","1hjqg3TuQ2YqooaPhxHwdv"
"24",0.668,90.969,0.646,-5.203,0.212,0.64,0.0282,0,1,2,148318,0.491,"Belong Together","Mark Ambor","Belong Together","2024-02-16",82,4,"audio_features","5uQ7de4EWjb3rkcFxyEOpu","3PlCMwyq6nuQYtoYproV1o"
"25",0.454,159.982,0.689,-7.643,0.0707,0.912,0.0584,0.00259,1,2,159246,0.0351,"End of Beginning","Djo","DECIDE","2022-09-16",89,4,"audio_features","3qhlB30KknSejmIvZZLjOD","4JDXBZdRPId4devseaAOKH"
"26",0.681,155.079,0.56,-6.304,0.106,0.388,0.244,0,0,6,223320,0.103,"Q U E V A S H A C E R H O Y ?","Omar Courtz, De La Rose","PRIMERA MUSA","2024-09-20",89,4,"audio_features","0Sr7ssScx54yxdM2ols7nW","3C5uwdRE5QRoXSGPPxpDd4"
"27",0.472,101.061,0.898,-7.001,0.141,0.214,0.0776,0,1,1,274192,0.0107,"Not Like Us","Kendrick Lamar","Not Like Us","2024-05-04",88,4,"audio_features","6AI3ezQ4o3HUoP6Dhudph3","5JjnoGJyOxfSZUZtk2rRwZ"
"28",0.711,146.921,0.487,-4.22,0.152,0.317,0.0322,0,1,8,151647,0.000175,"Running Wild","Jin","Happy","2024-11-15",85,4,"audio_features","4p7DTkyrKqT98xlIwYYfXz","0fKlaQuBMQYFo5aIFoGIXt"
"29",0.712,91.98,0.848,-3.574,0.106,0.692,0.0981,0,0,1,298131,0.221,"+57","KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd","+57","2024-11-08",84,4,"audio_features","3mg9jYNC1NihbthlglzrWP","5TT8KluomuelzsNF7T1U37"
"30",0.645,114.933,0.882,-7.233,0.057,0.788,0.0601,4.13e-05,1,1,104419,0.475,"Embrace It","Ndotz","Embrace It","2024-08-23",87,4,"audio_features","0io16MKpbeDIdYzmGpQaES","0mV9Pfr1GfoZLkp1EAau9P"
"31",0.872,184.115,0.466,-3.344,0.121,0.806,0.0336,0,1,7,190428,0.0156,"The Emptiness Machine","Linkin Park","The Emptiness Machine","2024-09-05",89,4,"audio_features","2PnlsTsOTLE5jnBnNe2K0A","6W0Gabv5f3ugnckc6YgfJQ"
"32",0.756,116.034,0.66,-3.743,0.193,0.838,0.032,0,0,0,170888,0.00289,"Who","Jimin","MUSE","2024-07-19",92,4,"audio_features","7tI8dRuH2Yc6RuoTjxo4dU","15XcLhiVMlSOipUddTNDnr"
"33",0.508,147.125,0.579,-9.484,0.0575,0.609,0.027,0.000494,1,2,391376,0.00574,"Hotel California - 2013 Remaster","Eagles","Hotel California (2013 Remaster)","1976-12-08",81,4,"audio_features","40riOy7x9W7GXjyGp4pjAv","2widuo17g5CEC66IbzveRu"
"34",0.446,123.596,0.743,-7.807,0.337,0.278,0.0683,0.118,0,4,232107,0.0039,"Seven Nation Army","The White Stripes","Elephant","2003-04-01",82,4,"audio_features","3dPQuX8Gs42Y7b454ybpMR","6D9urpsOWWKtYvF6PaorGE"
"35",0.43,91.844,0.515,-9.935,0.129,0.104,0.0372,0.000133,1,7,238640,0.0097,"Creep","Radiohead","Pablo Honey","1993-02-22",86,4,"audio_features","70LcF31zb1H0PyJoS1Sx1r","3gBVdu4a1MMJVMy6vwPEb8"
"36",0.824,120.125,0.5,-5.846,0.0916,0.539,0.0388,0.00161,0,4,218920,0.00016,"Come As You Are","Nirvana","Nevermind (Remastered)","1991-09-26",76,4,"audio_features","4P5KoWXOxwuobLmHXLMobV","2guirTSEqLizK7j9i1MTTZ"
"37",0.767,96.483,0.592,-2.788,0.127,0.328,0.027,0.00165,0,9,329733,0.0021,"Californication","Red Hot Chili Peppers","Californication (Deluxe Edition)","1999-06-08",81,4,"audio_features","48UPSzbZjgc449aqz8bxox","2Y9IRtehByVkegoD7TcLfi"
"38",0.952,125.304,0.445,-5.321,0.112,0.624,0.0522,0.0843,1,6,356067,0.09,"Sweet Child O' Mine","Guns N' Roses","Appetite For Destruction","1987-07-21",84,4,"audio_features","7snQQk1zcKl8gZ92AnueZW","28yHV3Gdg30AiB8h8em1eW"
"39",0.795,158.691,0.464,-9.267,0.399,0.612,0.0926,0.00244,1,1,202267,0.0493,"Paint It, Black","The Rolling Stones","Aftermath","1966-04-15",81,4,"audio_features","63T7DJ1AFDD6Bn8VzG6JE8","72qrnM4yUNMDDlWiqKc8iY"
"40",0.492,120.151,0.828,-9.744,0.128,0.789,0.0276,0.00428,1,0,257800,0.0644,"Dreams - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","1977-02-04",84,4,"audio_features","0ofHAoxe9vBkTCp2UQIavz","0BwWUstDMUbgq2NYONRqlu"
"41",0.881,158.066,0.413,-5.541,0.0805,0.364,0.0367,0.000308,0,11,250547,5.99e-05,"Everlong","Foo Fighters","The Colour And The Shape","1997-05-20",81,4,"audio_features","5UWwZ5lm5PKu6eKsHAGxOk","30ly6F6Xl0TKmyBCU50Khv"
"42",0.322,93.503,0.475,-10.687,0.11,0.387,0.0283,0.00056,1,7,206267,0.367,"Dust in the Wind","Kansas","Point Of Know Return (Expanded Edition)","1977",79,4,"audio_features","6zeE5tKyr8Nu882DQhhSQI","6oU298pdPTCQnMx1PYwyUA"
"43",0.394,104.114,0.693,-15.882,0.247,0.721,0.0428,0.000694,1,0,238747,0.0782,"Another Brick in the Wall, Pt. 2","Pink Floyd","The Wall","1979-11-30",74,4,"audio_features","4gMgiXfqyzZLMhsksGmbQV","5Dbax7G8SWrP9xyzkOvy2F"
"44",0.899,152.445,0.475,-4.321,0.14,0.603,0.0637,1.91e-05,0,9,230667,0.00375,"Runaway","Bon Jovi","Bon Jovi","1984-01-23",72,4,"audio_features","0X1sqQ652p1sceKM2nJlIJ","1UUOBzIHw0noiRGRpbt3sz"
"45",0.943,85.064,0.442,-3.205,0.091,0.781,0.0602,8.71e-06,1,3,181533,0.00293,"Basket Case","Green Day","Dookie","1994-02-01",80,4,"audio_features","6L89mwZXSOwYl76YXfX13s","4uG8q3GPuWHQlRbswMIRS6"
